name,source,gender,wikidata,type
"Ђуке Динић",wikidata,F,Q4161934,way
"Ђурђевке Чакаревић",wikidata,F,Q12747527,way
"Јелене Ћетковић",wikidata,F,Q6663953,way
"Јелене Анжујске",wikidata,F,Q267773,way
"Јелене Генчић",wikidata,F,Q5657279,way
"Јелене Шаулић Бојовић",wikidata,F,Q31181396,way
"Јелисавете Андрејевић",wikidata,F,Q4065567,way
"Јелисавете Дојкић",wikidata,F,Q61126429,way
"Јелисавете Начић",wikidata,F,Q3176891,way
Јефимијина,wikidata,F,Q457889,way
"Јованке Радаковић",wikidata,F,Q12747783,way
"Љиљане Жикић",wikidata,F,Q63983378,way
"Љиљане Контић",wikidata,F,Q12747892,way
"Љиљане Крстић",wikidata,F,Q12958192,way
"Љубинке Бобић",wikidata,F,Q1565338,way
"Љубице Јанковић",wikidata,F,Q16098315,way
"Љубице Ивошевић-Димитров",wikidata,F,Q12285328,way
"Љубице Ковић",wikidata,F,Q11121110,way
"Љубице Луковић",wikidata,F,Q26978755,way
"Љубице Чакаревић",wikidata,F,Q20438411,way
"Агате Кристи",wikidata,F,Q35064,way
"Амелије Ерхарт",wikidata,F,Q3355,way
"Ане Ахматове",wikidata,F,Q80440,way
"Ане Бешлић",wikidata,F,Q4750323,way
"Ане Глинскаје Јакшић",wikidata,F,Q3657479,way
"Ане Франк",wikidata,F,Q4583,way
"Анете Андрејевић",wikidata,F,Q4065567,way
"Анице Савић-Ребац",wikidata,F,Q9154657,way
"Анке Матић",wikidata,F,Q4284838,way
"Антоније Јаворник",wikidata,F,Q18502378,way
"Баба Вишњина",wikidata,F,Q7485268,way
"Беле Рохел Фрајнд",wikidata,F,Q299982,way
"Бете Вукановић",wikidata,F,Q4897288,way
"Биљане Јовановић",wikidata,F,Q42685927,way
"Благе Марије",wikidata,F,Q63070,way
"Босе Милићевић",wikidata,F,Q422562,way
"Босе Ранковић",wikidata,F,Q31181582,way
"Босе Цветић",wikidata,F,Q1567317,way
"Василије Радојчић",wikidata,F,Q11215801,way
"Веле Нигринове",wikidata,F,Q12805329,way
"Вере Дедовић",wikidata,F,Q12747346,way
"Вере Мишчевић",wikidata,F,Q11232827,way
"Виде Јоцић",wikidata,F,Q12749732,way
"Виде Павловић",wikidata,F,Q14564390,way
"Вирџиније Вулф",wikidata,F,Q40909,way
"Вукице Митровић",wikidata,F,Q1564482,way
"Гите Предић Нушић",wikidata,F,Q43227065,way
"Гордане Косановић",wikidata,F,Q16380623,way
"Данице Јовановић",wikidata,F,Q16081050,way
"Данице Којић",wikidata,F,Q61128548,way
"Даринке Јеврић",wikidata,F,Q16082814,way
"Даринке Боровић",wikidata,F,Q31182329,way
"Даринке Радовић",wikidata,F,Q12956732,way
"Дарје Коропкине",wikidata,F,Q31182328,way
"Делфе Ивањић",wikidata,F,Q12750769,way
"Десанке Максимовић",wikidata,F,Q1280792,way
"Диане Будисављевић",wikidata,F,Q112443,way
"Докторке Драгиње Бабић",wikidata,F,Q12751134,way
"Дорис Лесинг",wikidata,F,Q40874,way
"Др Драге Љочић",wikidata,F,Q4963260,way
"Драге Гавриловић",wikidata,F,Q31181207,way
"Драге Дејановић",wikidata,F,Q19629438,way
"Драге Спасић",wikidata,F,Q16082672,way
"Драгице Кончар",wikidata,F,Q3446958,way
"Драгиње Адамовић",wikidata,F,Q3510693,way
"Душице Спасић",wikidata,F,Q12745108,way
"Евелин Хаверфилд",wikidata,F,Q1381661,way
"Емилије Јакшић",wikidata,F,Q12751560,way
"Жанке Стокић",wikidata,F,Q1562349,way
"Живке Матић",wikidata,F,Q16084383,way
"Заге Маливук",wikidata,F,Q4140683,way
"Заге Маливук улица 2.",wikidata,F,Q4140683,way
"Заге Маливук улица 3.",wikidata,F,Q4140683,way
"Заге Маливук улица 4.",wikidata,F,Q4140683,way
"Западно селиште",wikidata,F,Q6729570,way
"Зоре Дремпетић",wikidata,F,Q61125469,way
"Зоре Петровић",wikidata,F,Q8074304,way
"Зорице Божовић",wikidata,F,Q33083320,way
"Иванке Муачевић",wikidata,F,Q12752152,way
"Иде Брановачки",wikidata,F,Q12752178,way
"Исидоре Секулић",wikidata,F,Q1279865,way
"Ите Рине",wikidata,F,Q451945,way
"Катарине Јовановић",wikidata,F,Q61122959,way
"Катарине Амброзић",wikidata,F,Q19916044,way
"Катарине Богдановић",wikidata,F,Q20435083,way
"Катарине Ивановић",wikidata,F,Q752085,way
"Катарине Миловук",wikidata,F,Q16084607,way
"Кетрин Макфејл",wikidata,F,Q60571490,way
"Кларе Цеткин",wikidata,F,Q75823,way
"Кнегиње Јулије",wikidata,F,Q2330944,way
"Кнегиње Љубице",wikidata,F,Q1272779,way
"Кнегиње Анастасије",wikidata,F,Q151130,way
"Кнегиње Зорке",wikidata,F,Q226738,way
"Косаре Цветковић",wikidata,F,Q28807052,way
"Краљице Јелене",wikidata,F,Q267773,way
"Краљице Ане",wikidata,F,Q468663,way
"Краљице Драге Обреновић",wikidata,F,Q255820,way
"Краљице Катарине",wikidata,F,Q452680,way
"Краљице Марије",wikidata,F,Q167387,way
"Краљице Наталије",wikidata,F,Q263949,way
"Ксеније Јовановић",wikidata,F,Q12754292,way
"Ксеније Атанасијевић",wikidata,F,Q1255843,way
"Ксеније Мартинов",wikidata,F,Q31185498,way
"Леди Пеџет",wikidata,F,Q6688893,way
"Ленке Рабасовић",wikidata,F,Q31181564,way
"Лепе Стаменковић",wikidata,F,Q12754513,way
"Лоле Новаковић",wikidata,F,Q452792,way
"Маге Магазиновић",wikidata,F,Q6729570,way
"Малвине Хофман",wikidata,F,Q3844044,way
"Маре Таборске",wikidata,F,Q21548327,way
"Марине Кољубајеве",wikidata,F,Q12754905,way
"Маријане Грегоран",wikidata,F,Q12754936,way
"Маријане Грегоран први пролаз",wikidata,F,Q12754936,way
"Марије Бурсаћ",wikidata,F,Q452668,way
"Марије Зиболд",wikidata,F,Q31182049,way
"Марије Калас",wikidata,F,Q128297,way
"Марије Црнобори",wikidata,F,Q11138528,way
"Маје Димитријевић",wikidata,F,Q31183983,way
"Маје Чучковић Драшкић",wikidata,F,Q29298063,way
"Мајке Јевросиме",wikidata,F,Q61129067,way
"Мајке Ангелине",wikidata,F,Q447704,way
"Мајке Кујунџић",wikidata,F,Q31183655,way
"Миланке Кљајић",wikidata,F,Q4224543,way
"Миле Димитријевић",wikidata,F,Q12636871,way
"Милеве Марић Ајнштајн",wikidata,F,Q76346,way
"Милене Павловић Барили",wikidata,F,Q447732,way
"Милице Јанковић",wikidata,F,Q292905,way
"Милице Миљанов",wikidata,F,Q31181392,way
"Милице Ракић",wikidata,F,Q12037415,way
"Милице Српкиње",wikidata,F,Q1254483,way
"Милице Хребељановић",wikidata,F,Q439595,way
"Милице Шуваковић",wikidata,F,Q4180417,way
"Милке Боснић",wikidata,F,Q1563680,way
"Милке Гргурове",wikidata,F,Q11142838,way
"Милке Лукић",wikidata,F,Q31184996,way
"Милунке Савић",wikidata,F,Q6861607,way
"Мине Вукомановић",wikidata,F,Q12286799,way
"Мине Караџић",wikidata,F,Q12286799,way
"Мирјане Коџић",wikidata,F,Q12755582,way
"Мис Ирбијеве",wikidata,F,Q7154941,way
"Наде Димић",wikidata,F,Q1288702,way
"Наде Наумовић",wikidata,F,Q401268,way
"Наде Пурић",wikidata,F,Q12755952,way
"Наде Пурић прилаз први",wikidata,F,Q12755952,way
"Надежде Петровић",wikidata,F,Q264453,way
"Наке Спасић",wikidata,F,Q61126076,way
"Наталије Бјелајац",wikidata,F,Q18502378,way
"Наталије Мунк",wikidata,F,Q31181555,way
"Невенке Урбанове",wikidata,F,Q1566393,way
"Неде Спасојевић",wikidata,F,Q13599853,way
"Нине Кирсанове",wikidata,F,Q15111354,way
"Олге Јеврић",wikidata,F,Q7086586,way
"Олге Јовичић",wikidata,F,Q4205868,way
"Олге Ивановић",wikidata,F,Q12756501,way
"Олге Петров",wikidata,F,Q12756494,way
"Олге Спиридоновић",wikidata,F,Q1562697,way
"Олив Кинг",wikidata,F,Q7087168,way
"Оливере Марковић",wikidata,F,Q299979,way
"Оље Ивањицки",wikidata,F,Q461046,way
"Персиде Миленковић",wikidata,F,Q954994,way
"Полексије Тодоровић",wikidata,F,Q28806164,way
"Принцезе Оливере",wikidata,F,Q458610,way
"Радмиле Савићевић",wikidata,F,Q2444244,way
"Радојке Лакић",wikidata,F,Q2160017,way
"Ребеке Вест",wikidata,F,Q236669,way
"Розалин Френклин",wikidata,F,Q7474,way
"Розе Луксембург",wikidata,F,Q7231,way
"Руже Јовановић",wikidata,F,Q33093331,way
"Светлане Велмар Јанковић",wikidata,F,Q385880,way
"Сестара Јанковић",wikidata,F,Q31183660,way
Симонидина,wikidata,F,Q469013,way
"Сквер Мире Траиловић",wikidata,F,Q1257130,way
"Славке Јеринић",wikidata,F,Q12758919,way
"Славке Томић",wikidata,F,Q31181542,way
"Слободанке Данке Савић",wikidata,F,Q25460429,way
"Слободе Трајковић",wikidata,F,Q12758948,way
"Снежане Хрепевник",wikidata,F,Q9011390,way
"Соње Савић",wikidata,F,Q469494,way
"Спасеније Пате Марковић",wikidata,F,Q61129660,way
"Станиславе Пешић",wikidata,F,Q12960006,way
"Томаније Обреновић",wikidata,F,Q12760124,way
"Усније Реџепове",wikidata,F,Q12760410,way
"Учитељице Леонтине Краус",wikidata,F,Q16084754,way
"Учитељице Милице Јанковић",wikidata,F,Q292905,way
"Флоре Сендс",wikidata,F,Q12760643,way
"Царице Јелене",wikidata,F,Q2655693,way
"Царице Милице",wikidata,F,Q439595,way
"Цвијете Зузорић",wikidata,F,Q1272744,way
"Цице Калушевић",wikidata,F,Q18697153,way
"Чучук Станина",wikidata,F,Q6591597,way
"Ђакона Авакума",wikidata,M,Q16081224,way
"Ђанга Рајнхарта",wikidata,M,Q44122,way
"Ђока Војводића",wikidata,M,Q61130230,way
"Ђока Ковачевића",wikidata,M,Q12747474,way
"Ђока Павићевића",wikidata,M,Q112493,way
"Ђорђа Јовановића",wikidata,M,Q1557986,way
"Ђорђа Андрејевића - Куна",wikidata,M,Q1283347,way
"Ђорђа Вајферта",wikidata,M,Q216003,way
"Ђорђа Илића",wikidata,M,Q12747486,way
"Ђорђа Кратовца",wikidata,M,Q3406940,way
"Ђорђа Крстића",wikidata,M,Q3593877,way
"Ђорђа Лобачева",wikidata,M,Q12747490,way
"Ђорђа Несторовића",wikidata,M,Q16083265,way
"Ђорђа Нешића",wikidata,M,Q25468919,way
"Ђорђа Станојевића",wikidata,M,Q16081318,way
"Ђорђа Тасића",wikidata,M,Q15473745,way
"Ђорђа Шагића",wikidata,M,Q3101567,way
"Ђузепеа Манцинија",wikidata,M,Q187336,way
"Ђура Ђапића",wikidata,M,Q12646038,way
"Ђуре Јакшића",wikidata,M,Q342124,way
"Ђуре Гавеле",wikidata,M,Q12747520,way
"Ђуре Даничића",wikidata,M,Q342145,way
"Ђуре Курепе",wikidata,M,Q1288394,way
"Ђурићев пролаз",wikidata,M,Q12755602,way
"Ђурђа Балшића",wikidata,M,Q2592835,way
Ђушина,wikidata,M,Q16083207,way
"Јакова Хлипчијева",wikidata,M,Q12747564,way
Јакшићева,wikidata,M,Q342124,way
"Јана Колара",wikidata,M,Q220550,way
"Јанка Јанковића",wikidata,M,Q12747581,way
"Јанка Брашића",wikidata,M,Q3162038,way
"Јанка Веселиновића",wikidata,M,Q713652,way
"Јанка Катића",wikidata,M,Q6154840,way
"Јанка Мишића",wikidata,M,Q1565289,way
"Јанка Поповића",wikidata,M,Q16086386,way
"Јанковић Стојана",wikidata,M,Q7618393,way
"Јарослава Чермака",wikidata,M,Q715879,way
"Јарослава Черног",wikidata,M,Q12747595,way
"Јаше Игњатовића",wikidata,M,Q570913,way
"Јаше Продановића",wikidata,M,Q14867564,way
"Јеврема Грујића",wikidata,M,Q12747630,way
Јенкеова,wikidata,M,Q1178302,way
Јесењинова,wikidata,M,Q31628,way
Јиречекова,wikidata,M,Q700589,way
"Јоакима Вујића",wikidata,M,Q1269140,way
"Јоакима Раковца",wikidata,M,Q12747705,way
"Јована Јанићијевића Бурдуша",wikidata,M,Q12957753,way
"Јована Ћирилова",wikidata,M,Q1253475,way
"Јована Авакумовића",wikidata,M,Q2366709,way
"Јована Белића",wikidata,M,Q16083493,way
"Јована Бијелића",wikidata,M,Q1564741,way
"Јована Бошковића",wikidata,M,Q85990918,way
"Јована Бранковића",wikidata,M,Q1959796,way
"Јована Бранковића први део",wikidata,M,Q1959796,way
"Јована Глигоријевића",wikidata,M,Q12747725,way
"Јована Деретића",wikidata,M,Q12957749,way
"Јована Дучића",wikidata,M,Q302819,way
"Јована Ердељановића",wikidata,M,Q12747732,way
"Јована Жујовића",wikidata,M,Q1263184,way
"Јована Карамате",wikidata,M,Q691012,way
"Јована Мариновића",wikidata,M,Q16083011,way
"Јована Микића",wikidata,M,Q1264319,way
"Јована Миодраговића",wikidata,M,Q65196974,way
"Јована Мушкатировића",wikidata,M,Q1180092,way
"Јована Пачића",wikidata,M,Q543250,way
"Јована Поповића",wikidata,M,Q6296683,way
"Јована Рашковића",wikidata,M,Q1277011,way
"Јована Рајића",wikidata,M,Q2667903,way
"Јована Ристића",wikidata,M,Q391573,way
"Јована Ружића",wikidata,M,Q4399825,way
"Јована Стојсављевића",wikidata,M,Q12747766,way
"Јована Суботића",wikidata,M,Q6194671,way
"Јована Томића",wikidata,M,Q12747776,way
"Јована Туромана",wikidata,M,Q60032487,way
"Јована Туцакова",wikidata,M,Q12747772,way
"Јована Уроша Немањића",wikidata,M,Q888583,way
Јовијанова,wikidata,M,Q34074,way
"Јоже Плечника",wikidata,M,Q314886,way
"Јоза Лауренчића",wikidata,M,Q16380629,way
"Јозефа Јиричека",wikidata,M,Q700589,way
"Јорја Тадића",wikidata,M,Q12633711,way
"Јосипа Колумба",wikidata,M,Q1564945,way
"Јосипа Кулунџића",wikidata,M,Q61125201,way
"Јосипа Славенског",wikidata,M,Q1290225,way
"Јосифа Маринковића",wikidata,M,Q6117614,way
"Јосифа Татића",wikidata,M,Q299985,way
Југ-Богданова,wikidata,M,Q1399070,way
"Југа Гризеља",wikidata,M,Q12745602,way
"Јула Бринера",wikidata,M,Q102813,way
"Јуре Керошевића",wikidata,M,Q16081148,way
"Јурице Рибара",wikidata,M,Q12747866,way
"Јурија Гагарина",wikidata,M,Q7327,way
"Јурија Ракитина",wikidata,M,Q61364753,way
Љермонтовљева,wikidata,M,Q46599,way
"Љуба Вучковића",wikidata,M,Q1564122,way
"Љубана Једнака",wikidata,M,Q16083017,way
"Љубе Јовановића",wikidata,M,Q12747930,way
"Љубе Давидовића",wikidata,M,Q1285673,way
"Љубе Дидића",wikidata,M,Q16082599,way
"Љубе Ковачевића",wikidata,M,Q14506819,way
"Љубе Мољца",wikidata,M,Q11125857,way
"Љубе Недића",wikidata,M,Q6660968,way
"Љубе Тадића",wikidata,M,Q1249807,way
"Љубе Чупе",wikidata,M,Q7925012,way
"Љубе Шерцера",wikidata,M,Q4523237,way
"Љубе Шкиљевића",wikidata,M,Q31185438,way
"Љубише Јовановића",wikidata,M,Q11111422,way
"Љубише Баје Бачића",wikidata,M,Q11121803,way
"Љубише Миодраговића",wikidata,M,Q12747917,way
"Љубомира Јовановића",wikidata,M,Q12747930,way
"Љубомира Вукадиновића",wikidata,M,Q16081394,way
"Љубомира Живковића Шпанца",wikidata,M,Q25459351,way
"Љубомира Ивановића",wikidata,M,Q6432526,way
"Љубомира Ивковића-Шуце",wikidata,M,Q20435591,way
"Љубомира Стојановића",wikidata,M,Q2760240,way
Његошева,wikidata,M,Q362081,way
Ћипикова,wikidata,M,Q1276843,way
"Ћурчијина улица",wikidata,M,Q14849947,way
Ћустендилска,wikidata,M,Q470074,way
"Џесија Овенса",wikidata,M,Q52651,way
"Џона Кенедија",wikidata,M,Q9696,way
"Џона Фронтингхама",wikidata,M,Q61132326,way
"Џорџа Вашингтона",wikidata,M,Q23,way
"Џорџа Орвела",wikidata,M,Q3335,way
"Абебе Бикиле",wikidata,M,Q52596,way
"Аврама Винавера",wikidata,M,Q12748058,way
"Аврама Петронијевића",wikidata,M,Q2072752,way
"Адама Богосављевића",wikidata,M,Q12748085,way
"Адмирала Вуковића",wikidata,M,Q685032,way
"Адмирала Гепрата",wikidata,M,Q2983883,way
"Академика Михаила Марковића",wikidata,M,Q1286714,way
"Акира Куросаве",wikidata,M,Q8006,way
"Акробате Алексића",wikidata,M,Q1270745,way
"Алана Тјуринга",wikidata,M,Q7251,way
"Албера Камија",wikidata,M,Q34670,way
"Алберта Ајнштајна",wikidata,M,Q937,way
"Алберта Вајса",wikidata,M,Q12748177,way
"Албрехта Дирера",wikidata,M,Q5580,way
"Александра Ђорђевића",wikidata,M,Q11038450,way
"Александра Белића",wikidata,M,Q1289586,way
"Александра Бородина",wikidata,M,Q164004,way
"Александра Бугарског",wikidata,M,Q2832490,way
"Александра Великог",wikidata,M,Q8409,way
"Александра Војиновића",wikidata,M,Q1564174,way
"Александра Вуча",wikidata,M,Q1564031,way
"Александра Глишића",wikidata,M,Q16083483,way
"Александра Дерока",wikidata,M,Q1280402,way
"Александра Дубчека",wikidata,M,Q150543,way
"Александра Македонског",wikidata,M,Q8409,way
"Александра Невског",wikidata,M,Q174044,way
"Александра Поповића",wikidata,M,Q11038562,way
"Александра Солжењицина",wikidata,M,Q34474,way
"Александра Стамболиског",wikidata,M,Q313535,way
"Александра Стојановића",wikidata,M,Q20437619,way
"Александра Тирнанића Тиркета",wikidata,M,Q722572,way
"Александра Тишме",wikidata,M,Q699950,way
"Александра Тијанића",wikidata,M,Q1564999,way
"Александра Томашевића",wikidata,M,Q1261633,way
"Александра Флеминга",wikidata,M,Q37064,way
"Алексе Дундића",wikidata,M,Q2476319,way
"Алексе Маркишића",wikidata,M,Q12748195,way
"Алексе Ненадовића",wikidata,M,Q657769,way
"Алимпија Васиљевића",wikidata,M,Q25459086,way
"Алојза Шмауса",wikidata,M,Q2650425,way
"Алфреда Нобела",wikidata,M,Q23810,way
"Анастаса Јовановића",wikidata,M,Q2613585,way
"Андре Ђорђевића",wikidata,M,Q25460107,way
"Андре Николића",wikidata,M,Q12748350,way
"Андре Стевановића",wikidata,M,Q2846199,way
"Андреја Андрејевића",wikidata,M,Q12748356,way
"Андреја Витрука",wikidata,M,Q1265389,way
"Андреја Митровића",wikidata,M,Q502982,way
"Андреја Тарковског",wikidata,M,Q853,way
"Андреје Дамјановића",wikidata,M,Q2846520,way
"Андреје Прегера",wikidata,M,Q16080919,way
"Андрије Вуковића",wikidata,M,Q16760914,way
"Андрије Хабуша",wikidata,M,Q92601820,way
"Андрићев венац",wikidata,M,Q47561,way
"Анри Матиса",wikidata,M,Q5589,way
"Анрија Жамеа",wikidata,M,Q112395325,way
"Анте Богићевића",wikidata,M,Q12748390,way
"Антона Ашкерца",wikidata,M,Q561804,way
"Антона Чехова",wikidata,M,Q5685,way
Аписова,wikidata,M,Q441659,way
"Арсена Дедића",wikidata,M,Q594956,way
"Архиепископа Данила",wikidata,M,Q1267645,way
"Архимандрита Герасима Зелића",wikidata,M,Q5550349,way
"Архитекте Илкића",wikidata,M,Q3187158,way
"Арчибалда Рајса",wikidata,M,Q77782,way
"Атанасија Николића",wikidata,M,Q12748556,way
"Атанасија Пуље",wikidata,M,Q16081129,way
"Аугуста Шеное",wikidata,M,Q347672,way
"Ахмеда Адемовића",wikidata,M,Q15964484,way
"Аце Симића",wikidata,M,Q12748225,way
Аљехинова,wikidata,M,Q131374,way
Балзакова,wikidata,M,Q9711,way
"Бана Иваниша",wikidata,M,Q347090,way
Батутова,wikidata,M,Q11781156,way
"Бахтијара Вагабзаде",wikidata,M,Q2320387,way
Бајронова,wikidata,M,Q5679,way
Бекерелова,wikidata,M,Q41269,way
Белимарковићева,wikidata,M,Q337713,way
Берачка,wikidata,M,Q4714906,way
"Бертранда Расела",wikidata,M,Q33760,way
Биничког,wikidata,M,Q1292444,way
Бирчанинова,wikidata,M,Q5998185,way
"Благоја Јововића",wikidata,M,Q12628011,way
"Благоја Марјановића Моше",wikidata,M,Q2288163,way
"Благоја Паровића",wikidata,M,Q8248571,way
"Блажа Попиводе",wikidata,M,Q12749036,way
Блазнавчева,wikidata,M,Q620559,way
"Богдана Југовића Хајнца",wikidata,M,Q12273449,way
"Богдана Богдановића",wikidata,M,Q700592,way
"Богдана Болте",wikidata,M,Q12749080,way
"Богдана Жерајића",wikidata,M,Q12749083,way
"Богдана Косановића",wikidata,M,Q16081681,way
"Богдана Кршића",wikidata,M,Q20436692,way
"Богдана Несторовића",wikidata,M,Q2908636,way
"Богдана Поповића",wikidata,M,Q715901,way
"Богдана Тирнанића",wikidata,M,Q4937478,way
"Богомира Аћимовића",wikidata,M,Q20434508,way
"Богољуба Чукића",wikidata,M,Q12749094,way
"Боже Јанковића",wikidata,M,Q1279640,way
"Боже Дреничког",wikidata,M,Q12749121,way
"Божидара Станојевића",wikidata,M,Q12749121,way
"Божидара Тимотијевића",wikidata,M,Q12749129,way
"Божидара Ферјанчића",wikidata,M,Q3622723,way
Божурова,wikidata,M,Q20435553,way
"Боре Вукмировића",wikidata,M,Q1562871,way
"Боре Марковића",wikidata,M,Q12749171,way
"Боре Продановића",wikidata,M,Q28806156,way
"Боре Станковића",wikidata,M,Q370392,way
"Боре Станковића Макиш",wikidata,M,Q370392,way
"Боривоја Боре Тодоровића",wikidata,M,Q1250100,way
"Боривоја Вукова",wikidata,M,Q893833,way
"Боривоја Дробњаковића",wikidata,M,Q12749199,way
"Боривоја Костића",wikidata,M,Q2344945,way
"Боривоја Милојевића",wikidata,M,Q12749197,way
"Боривоја Стевановића",wikidata,M,Q16088486,way
"Борисава Атанасковића",wikidata,M,Q61129157,way
"Борислава Благојевића",wikidata,M,Q16081212,way
"Борислава Пекића",wikidata,M,Q1262563,way
Борхесова,wikidata,M,Q909,way
